sample,response,sample_type,population,count,total_count,percentage
sample00066,yes,PBMC,monocyte,12632,107284,11.77
sample00066,yes,PBMC,nk_cell,13927,107284,12.98
sample00067,yes,PBMC,b_cell,11874,107589,11.04
sample00067,yes,PBMC,cd4_t_cell,29460,107589,27.38
sample00067,yes,PBMC,cd8_t_cell,24116,107589,22.41
sample00067,yes,PBMC,monocyte,20737,107589,19.27
sample00067,yes,PBMC,nk_cell,21402,107589,19.89
sample00068,yes,PBMC,b_cell,10501,110245,9.53
sample00068,yes,PBMC,cd4_t_cell,35458,110245,32.16
sample00068,yes,PBMC,cd8_t_cell,33801,110245,30.66
sample00068,yes,PBMC,monocyte,23088,110245,20.94
sample00068,yes,PBMC,nk_cell,7397,110245,6.71
sample00072,no,PBMC,b_cell,8730,93613,9.33
sample00072,no,PBMC,cd4_t_cell,22481,93613,24.01
sample00072,no,PBMC,cd8_t_cell,26500,93613,28.31
sample00072,no,PBMC,monocyte,19301,93613,20.62
sample00072,no,PBMC,nk_cell,16601,93613,17.73
sample00073,no,PBMC,b_cell,10426,104898,9.94
sample00073,no,PBMC,cd4_t_cell,26510,104898,25.27
sample00073,no,PBMC,cd8_t_cell,28944,104898,27.59
sample00073,no,PBMC,monocyte,19567,104898,18.65
sample00073,no,PBMC,nk_cell,19451,104898,18.54
sample00074,no,PBMC,b_cell,13166,92232,14.27
sample00074,no,PBMC,cd4_t_cell,33699,92232,36.54
sample00074,no,PBMC,cd8_t_cell,18608,92232,20.18
sample00074,no,PBMC,monocyte,11200,92232,12.14
sample00074,no,PBMC,nk_cell,15559,92232,16.87
sample00075,yes,PBMC,b_cell,14480,104711,13.83
sample00075,yes,PBMC,cd4_t_cell,33149,104711,31.66
sample00075,yes,PBMC,cd8_t_cell,26460,104711,25.27
sample00075,yes,PBMC,monocyte,15639,104711,14.94
sample00075,yes,PBMC,nk_cell,14983,104711,14.31
sample00076,yes,PBMC,b_cell,12385,110097,11.25
sample00076,yes,PBMC,cd4_t_cell,37340,110097,33.92
sample00076,yes,PBMC,cd8_t_cell,23764,110097,21.58
sample00076,yes,PBMC,monocyte,20907,110097,18.99
sample00076,yes,PBMC,nk_cell,15701,110097,14.26
sample00077,yes,PBMC,b_cell,9602,105432,9.11
sample00077,yes,PBMC,cd4_t_cell,42528,105432,40.34
sample00077,yes,PBMC,cd8_t_cell,18744,105432,17.78
sample00077,yes,PBMC,monocyte,17956,105432,17.03
sample00077,yes,PBMC,nk_cell,16602,105432,15.75
sample00081,no,PBMC,b_cell,9595,93286,10.29
sample00081,no,PBMC,cd4_t_cell,31245,93286,33.49
sample00081,no,PBMC,cd8_t_cell,18940,93286,20.3
sample00081,no,PBMC,monocyte,18924,93286,20.29
sample00081,no,PBMC,nk_cell,14582,93286,15.63
sample00082,no,PBMC,b_cell,6068,103389,5.87
sample00082,no,PBMC,cd4_t_cell,30549,103389,29.55
sample00082,no,PBMC,cd8_t_cell,31190,103389,30.17
sample00082,no,PBMC,monocyte,17682,103389,17.1
sample00082,no,PBMC,nk_cell,17900,103389,17.31
sample00083,no,PBMC,b_cell,7306,88242,8.28
sample00083,no,PBMC,cd4_t_cell,23762,88242,26.93
sample00083,no,PBMC,cd8_t_cell,23204,88242,26.3
sample00083,no,PBMC,monocyte,17528,88242,19.86
sample00083,no,PBMC,nk_cell,16442,88242,18.63
sample00123,no,PBMC,b_cell,8588,101404,8.47
sample00123,no,PBMC,cd4_t_cell,29889,101404,29.48
sample00123,no,PBMC,cd8_t_cell,26624,101404,26.26
sample00123,no,PBMC,monocyte,19142,101404,18.88
sample00123,no,PBMC,nk_cell,17161,101404,16.92
sample00124,no,PBMC,b_cell,7220,91040,7.93
sample00124,no,PBMC,cd4_t_cell,28332,91040,31.12
sample00124,no,PBMC,cd8_t_cell,23608,91040,25.93
sample00124,no,PBMC,monocyte,19553,91040,21.48
sample00124,no,PBMC,nk_cell,12327,91040,13.54
sample00125,no,PBMC,b_cell,18039,108174,16.68
sample00125,no,PBMC,cd4_t_cell,27052,108174,25.01
sample00125,no,PBMC,cd8_t_cell,34464,108174,31.86
sample00125,no,PBMC,monocyte,15254,108174,14.1
sample00125,no,PBMC,nk_cell,13365,108174,12.36
sample00141,yes,PBMC,b_cell,4896,103696,4.72
sample00141,yes,PBMC,cd4_t_cell,35662,103696,34.39
sample00141,yes,PBMC,cd8_t_cell,28642,103696,27.62
sample00141,yes,PBMC,monocyte,21325,103696,20.56
sample00141,yes,PBMC,nk_cell,13171,103696,12.7
sample00142,yes,PBMC,b_cell,10372,98991,10.48
sample00142,yes,PBMC,cd4_t_cell,32331,98991,32.66
sample00142,yes,PBMC,cd8_t_cell,26865,98991,27.14
sample00142,yes,PBMC,monocyte,17299,98991,17.48
sample00142,yes,PBMC,nk_cell,12124,98991,12.25
sample00143,yes,PBMC,b_cell,7954,95184,8.36
sample00143,yes,PBMC,cd4_t_cell,24873,95184,26.13
sample00143,yes,PBMC,cd8_t_cell,32400,95184,34.04
sample00143,yes,PBMC,monocyte,10588,95184,11.12
sample00143,yes,PBMC,nk_cell,19369,95184,20.35
sample00153,no,PBMC,b_cell,12772,105449,12.11
sample00153,no,PBMC,cd4_t_cell,30009,105449,28.46
sample00153,no,PBMC,cd8_t_cell,27496,105449,26.08
sample00153,no,PBMC,monocyte,16853,105449,15.98
sample00153,no,PBMC,nk_cell,18319,105449,17.37
sample00154,no,PBMC,b_cell,4851,98244,4.94
sample00154,no,PBMC,cd4_t_cell,29002,98244,29.52
sample00154,no,PBMC,cd8_t_cell,29394,98244,29.92
sample00154,no,PBMC,monocyte,14743,98244,15.01
sample00154,no,PBMC,nk_cell,20254,98244,20.62
sample00155,no,PBMC,b_cell,9098,98358,9.25
sample00155,no,PBMC,cd4_t_cell,29519,98358,30.01
sample00155,no,PBMC,cd8_t_cell,31146,98358,31.67
sample00155,no,PBMC,monocyte,13591,98358,13.82
sample00155,no,PBMC,nk_cell,15004,98358,15.25
sample00165,yes,PBMC,b_cell,11804,111486,10.59
sample00165,yes,PBMC,cd4_t_cell,35119,111486,31.5
sample00165,yes,PBMC,cd8_t_cell,19245,111486,17.26
sample00165,yes,PBMC,monocyte,21456,111486,19.25
sample00165,yes,PBMC,nk_cell,23862,111486,21.4
sample00166,yes,PBMC,b_cell,9198,111770,8.23
sample00166,yes,PBMC,cd4_t_cell,33200,111770,29.7
sample00166,yes,PBMC,cd8_t_cell,21433,111770,19.18
sample00166,yes,PBMC,monocyte,26183,111770,23.43
sample00166,yes,PBMC,nk_cell,21756,111770,19.46
sample00167,yes,PBMC,b_cell,9538,108425,8.8
sample00167,yes,PBMC,cd4_t_cell,26658,108425,24.59
sample00167,yes,PBMC,cd8_t_cell,40134,108425,37.02
sample00167,yes,PBMC,monocyte,19194,108425,17.7
sample00167,yes,PBMC,nk_cell,12901,108425,11.9
sample00168,yes,PBMC,b_cell,8186,102412,7.99
sample00168,yes,PBMC,cd4_t_cell,30370,102412,29.65
sample00168,yes,PBMC,cd8_t_cell,32947,102412,32.17
sample00168,yes,PBMC,monocyte,12267,102412,11.98
sample00168,yes,PBMC,nk_cell,18642,102412,18.2
sample00169,yes,PBMC,b_cell,8106,93829,8.64
sample00169,yes,PBMC,cd4_t_cell,33236,93829,35.42
sample00169,yes,PBMC,cd8_t_cell,23215,93829,24.74
sample00169,yes,PBMC,monocyte,14590,93829,15.55
sample00169,yes,PBMC,nk_cell,14682,93829,15.65
sample00170,yes,PBMC,b_cell,7984,98457,8.11
sample00170,yes,PBMC,cd4_t_cell,26639,98457,27.06
sample00170,yes,PBMC,cd8_t_cell,25161,98457,25.56
sample00170,yes,PBMC,monocyte,24495,98457,24.88
sample00170,yes,PBMC,nk_cell,14178,98457,14.4
sample00174,no,PBMC,b_cell,7405,97817,7.57
sample00174,no,PBMC,cd4_t_cell,32965,97817,33.7
sample00174,no,PBMC,cd8_t_cell,22137,97817,22.63
sample00174,no,PBMC,monocyte,14505,97817,14.83
sample00174,no,PBMC,nk_cell,20805,97817,21.27
sample00175,no,PBMC,b_cell,11412,107707,10.6
sample00175,no,PBMC,cd4_t_cell,36667,107707,34.04
sample00175,no,PBMC,cd8_t_cell,23005,107707,21.36
sample00175,no,PBMC,monocyte,22975,107707,21.33
sample00175,no,PBMC,nk_cell,13648,107707,12.67
sample00176,no,PBMC,b_cell,7371,97220,7.58
sample00176,no,PBMC,cd4_t_cell,31741,97220,32.65
sample00176,no,PBMC,cd8_t_cell,18491,97220,19.02
sample00176,no,PBMC,monocyte,26575,97220,27.33
sample00176,no,PBMC,nk_cell,13042,97220,13.41
sample00186,no,PBMC,b_cell,12451,99781,12.48
sample00186,no,PBMC,cd4_t_cell,21131,99781,21.18
sample00186,no,PBMC,cd8_t_cell,32194,99781,32.26
sample00186,no,PBMC,monocyte,19122,99781,19.16
sample00186,no,PBMC,nk_cell,14883,99781,14.92
sample00187,no,PBMC,b_cell,13389,97273,13.76
sample00187,no,PBMC,cd4_t_cell,25999,97273,26.73
sample00187,no,PBMC,cd8_t_cell,22858,97273,23.5
sample00187,no,PBMC,monocyte,22047,97273,22.67
sample00187,no,PBMC,nk_cell,12980,97273,13.34
sample00188,no,PBMC,b_cell,10012,93651,10.69
sample00188,no,PBMC,cd4_t_cell,30565,93651,32.64
sample00188,no,PBMC,cd8_t_cell,20985,93651,22.41
sample00188,no,PBMC,monocyte,19179,93651,20.48
sample00188,no,PBMC,nk_cell,12910,93651,13.79
sample00189,no,PBMC,b_cell,7128,92269,7.73
sample00189,no,PBMC,cd4_t_cell,32117,92269,34.81
sample00189,no,PBMC,cd8_t_cell,25593,92269,27.74
sample00189,no,PBMC,monocyte,17971,92269,19.48
sample00189,no,PBMC,nk_cell,9460,92269,10.25
sample00190,no,PBMC,b_cell,5835,107702,5.42
sample00190,no,PBMC,cd4_t_cell,30147,107702,27.99
sample00190,no,PBMC,cd8_t_cell,30522,107702,28.34
sample00190,no,PBMC,monocyte,27256,107702,25.31
sample00190,no,PBMC,nk_cell,13942,107702,12.94
sample00191,no,PBMC,b_cell,10650,97633,10.91
sample00191,no,PBMC,cd4_t_cell,25785,97633,26.41
sample00191,no,PBMC,cd8_t_cell,30449,97633,31.19
sample00191,no,PBMC,monocyte,18500,97633,18.95
sample00191,no,PBMC,nk_cell,12249,97633,12.55
sample00213,no,PBMC,b_cell,11597,98753,11.74
sample00213,no,PBMC,cd4_t_cell,33550,98753,33.97
sample00213,no,PBMC,cd8_t_cell,23412,98753,23.71
sample00213,no,PBMC,monocyte,15033,98753,15.22
sample00213,no,PBMC,nk_cell,15161,98753,15.35
sample00214,no,PBMC,b_cell,13613,102152,13.33
sample00214,no,PBMC,cd4_t_cell,23583,102152,23.09
sample00214,no,PBMC,cd8_t_cell,26516,102152,25.96
sample00214,no,PBMC,monocyte,24990,102152,24.46
sample00214,no,PBMC,nk_cell,13450,102152,13.17
sample00215,no,PBMC,b_cell,8136,90715,8.97
sample00215,no,PBMC,cd4_t_cell,28823,90715,31.77
sample00215,no,PBMC,cd8_t_cell,24167,90715,26.64
sample00215,no,PBMC,monocyte,19257,90715,21.23
sample00215,no,PBMC,nk_cell,10332,90715,11.39
sample00243,no,PBMC,b_cell,4990,98635,5.06
sample00243,no,PBMC,cd4_t_cell,32382,98635,32.83
sample00243,no,PBMC,cd8_t_cell,22986,98635,23.3
sample00243,no,PBMC,monocyte,20959,98635,21.25
sample00243,no,PBMC,nk_cell,17318,98635,17.56
sample00244,no,PBMC,b_cell,3494,97287,3.59
sample00244,no,PBMC,cd4_t_cell,35561,97287,36.55
sample00244,no,PBMC,cd8_t_cell,25315,97287,26.02
sample00244,no,PBMC,monocyte,17047,97287,17.52
sample00244,no,PBMC,nk_cell,15870,97287,16.31
sample00245,no,PBMC,b_cell,12390,96046,12.9
sample00245,no,PBMC,cd4_t_cell,32230,96046,33.56
sample00245,no,PBMC,cd8_t_cell,19581,96046,20.39
sample00245,no,PBMC,monocyte,23257,96046,24.21
sample00245,no,PBMC,nk_cell,8588,96046,8.94
sample00249,no,PBMC,b_cell,13882,98477,14.1
sample00249,no,PBMC,cd4_t_cell,23790,98477,24.16
sample00249,no,PBMC,cd8_t_cell,26030,98477,26.43
sample00249,no,PBMC,monocyte,19345,98477,19.64
sample00249,no,PBMC,nk_cell,15430,98477,15.67
sample00250,no,PBMC,b_cell,10657,103559,10.29
sample00250,no,PBMC,cd4_t_cell,24600,103559,23.75
sample00250,no,PBMC,cd8_t_cell,25338,103559,24.47
sample00250,no,PBMC,monocyte,23617,103559,22.81
sample00250,no,PBMC,nk_cell,19347,103559,18.68
sample00251,no,PBMC,b_cell,8751,98386,8.89
sample00251,no,PBMC,cd4_t_cell,29765,98386,30.25
sample00251,no,PBMC,cd8_t_cell,21432,98386,21.78
sample00251,no,PBMC,monocyte,24696,98386,25.1
sample00251,no,PBMC,nk_cell,13742,98386,13.97
sample00261,yes,PBMC,b_cell,9523,110763,8.6
sample00261,yes,PBMC,cd4_t_cell,27324,110763,24.67
sample00261,yes,PBMC,cd8_t_cell,37067,110763,33.47
sample00261,yes,PBMC,monocyte,22459,110763,20.28
sample00261,yes,PBMC,nk_cell,14390,110763,12.99
sample00262,yes,PBMC,b_cell,8695,99327,8.75
sample00262,yes,PBMC,cd4_t_cell,35578,99327,35.82
sample00262,yes,PBMC,cd8_t_cell,26686,99327,26.87
sample00262,yes,PBMC,monocyte,15026,99327,15.13
sample00262,yes,PBMC,nk_cell,13342,99327,13.43
sample00263,yes,PBMC,b_cell,10125,97454,10.39
sample00263,yes,PBMC,cd4_t_cell,31442,97454,32.26
sample00263,yes,PBMC,cd8_t_cell,24439,97454,25.08
sample00263,yes,PBMC,monocyte,11028,97454,11.32
sample00263,yes,PBMC,nk_cell,20420,97454,20.95
sample00285,no,PBMC,b_cell,14107,90622,15.57
sample00285,no,PBMC,cd4_t_cell,32219,90622,35.55
sample00285,no,PBMC,cd8_t_cell,18323,90622,20.22
sample00285,no,PBMC,monocyte,15444,90622,17.04
sample00285,no,PBMC,nk_cell,10529,90622,11.62
sample00286,no,PBMC,b_cell,8639,103894,8.32
sample00286,no,PBMC,cd4_t_cell,30448,103894,29.31
sample00286,no,PBMC,cd8_t_cell,22684,103894,21.83
sample00286,no,PBMC,monocyte,25843,103894,24.87
sample00286,no,PBMC,nk_cell,16280,103894,15.67
sample00287,no,PBMC,b_cell,8995,96806,9.29
sample00287,no,PBMC,cd4_t_cell,22642,96806,23.39
sample00287,no,PBMC,cd8_t_cell,32971,96806,34.06
sample00287,no,PBMC,monocyte,17057,96806,17.62
sample00287,no,PBMC,nk_cell,15141,96806,15.64
sample00324,yes,PBMC,b_cell,5829,107593,5.42
sample00324,yes,PBMC,cd4_t_cell,21022,107593,19.54
sample00324,yes,PBMC,cd8_t_cell,25471,107593,23.67
sample00324,yes,PBMC,monocyte,30169,107593,28.04
sample00324,yes,PBMC,nk_cell,25102,107593,23.33
sample00325,yes,PBMC,b_cell,9424,102479,9.2
sample00325,yes,PBMC,cd4_t_cell,26076,102479,25.45
sample00325,yes,PBMC,cd8_t_cell,25662,102479,25.04
sample00325,yes,PBMC,monocyte,23130,102479,22.57
sample00325,yes,PBMC,nk_cell,18187,102479,17.75
sample00326,yes,PBMC,b_cell,12099,97661,12.39
sample00326,yes,PBMC,cd4_t_cell,36551,97661,37.43
sample00326,yes,PBMC,cd8_t_cell,14270,97661,14.61
sample00326,yes,PBMC,monocyte,23287,97661,23.84
sample00326,yes,PBMC,nk_cell,11454,97661,11.73
sample00327,yes,PBMC,b_cell,12095,98632,12.26
sample00327,yes,PBMC,cd4_t_cell,30162,98632,30.58
sample00327,yes,PBMC,cd8_t_cell,22173,98632,22.48
sample00327,yes,PBMC,monocyte,18479,98632,18.74
sample00327,yes,PBMC,nk_cell,15723,98632,15.94
sample00328,yes,PBMC,b_cell,11588,96267,12.04
sample00328,yes,PBMC,cd4_t_cell,25319,96267,26.3
sample00328,yes,PBMC,cd8_t_cell,24900,96267,25.87
sample00328,yes,PBMC,monocyte,18355,96267,19.07
sample00328,yes,PBMC,nk_cell,16105,96267,16.73
sample00329,yes,PBMC,b_cell,10454,107732,9.7
sample00329,yes,PBMC,cd4_t_cell,35118,107732,32.6
sample00329,yes,PBMC,cd8_t_cell,23108,107732,21.45
sample00329,yes,PBMC,monocyte,19493,107732,18.09
sample00329,yes,PBMC,nk_cell,19559,107732,18.16
sample00333,yes,PBMC,b_cell,12249,97084,12.62
sample00333,yes,PBMC,cd4_t_cell,33510,97084,34.52
sample00333,yes,PBMC,cd8_t_cell,21075,97084,21.71
sample00333,yes,PBMC,monocyte,24650,97084,25.39
sample00333,yes,PBMC,nk_cell,5600,97084,5.77
sample00334,yes,PBMC,b_cell,13875,101241,13.7
sample00334,yes,PBMC,cd4_t_cell,32336,101241,31.94
sample00334,yes,PBMC,cd8_t_cell,16142,101241,15.94
sample00334,yes,PBMC,monocyte,25713,101241,25.4
sample00334,yes,PBMC,nk_cell,13175,101241,13.01
sample00335,yes,PBMC,b_cell,9604,102261,9.39
sample00335,yes,PBMC,cd4_t_cell,33271,102261,32.54
sample00335,yes,PBMC,cd8_t_cell,19327,102261,18.9
sample00335,yes,PBMC,monocyte,26942,102261,26.35
sample00335,yes,PBMC,nk_cell,13117,102261,12.83
sample00369,yes,PBMC,b_cell,9633,99288,9.7
sample00369,yes,PBMC,cd4_t_cell,26472,99288,26.66
sample00369,yes,PBMC,cd8_t_cell,34374,99288,34.62
sample00369,yes,PBMC,monocyte,18678,99288,18.81
sample00369,yes,PBMC,nk_cell,10131,99288,10.2
sample00370,yes,PBMC,b_cell,13888,103267,13.45
sample00370,yes,PBMC,cd4_t_cell,25142,103267,24.35
sample00370,yes,PBMC,cd8_t_cell,24908,103267,24.12
sample00370,yes,PBMC,monocyte,24721,103267,23.94
sample00370,yes,PBMC,nk_cell,14608,103267,14.15
sample00371,yes,PBMC,b_cell,3757,94340,3.98
sample00371,yes,PBMC,cd4_t_cell,29999,94340,31.8
sample00371,yes,PBMC,cd8_t_cell,21002,94340,22.26
sample00371,yes,PBMC,monocyte,23777,94340,25.2
sample00371,yes,PBMC,nk_cell,15805,94340,16.75
sample00378,yes,PBMC,b_cell,13078,101500,12.88
sample00378,yes,PBMC,cd4_t_cell,29791,101500,29.35
sample00378,yes,PBMC,cd8_t_cell,24014,101500,23.66
sample00378,yes,PBMC,monocyte,16374,101500,16.13
sample00378,yes,PBMC,nk_cell,18243,101500,17.97
sample00379,yes,PBMC,b_cell,17131,105343,16.26
sample00379,yes,PBMC,cd4_t_cell,24216,105343,22.99
sample00379,yes,PBMC,cd8_t_cell,31779,105343,30.17
sample00379,yes,PBMC,monocyte,19469,105343,18.48
sample00379,yes,PBMC,nk_cell,12748,105343,12.1
sample00380,yes,PBMC,b_cell,5710,95275,5.99
sample00380,yes,PBMC,cd4_t_cell,34343,95275,36.05
sample00380,yes,PBMC,cd8_t_cell,27668,95275,29.04
sample00380,yes,PBMC,monocyte,13104,95275,13.75
sample00380,yes,PBMC,nk_cell,14450,95275,15.17
sample00402,no,PBMC,b_cell,5436,91145,5.96
sample00402,no,PBMC,cd4_t_cell,27551,91145,30.23
sample00402,no,PBMC,cd8_t_cell,24146,91145,26.49
sample00402,no,PBMC,monocyte,24839,91145,27.25
sample00402,no,PBMC,nk_cell,9173,91145,10.06
sample00403,no,PBMC,b_cell,9302,104802,8.88
sample00403,no,PBMC,cd4_t_cell,34774,104802,33.18
sample00403,no,PBMC,cd8_t_cell,23495,104802,22.42
sample00403,no,PBMC,monocyte,25941,104802,24.75
sample00403,no,PBMC,nk_cell,11290,104802,10.77
sample00404,no,PBMC,b_cell,8705,95275,9.14
sample00404,no,PBMC,cd4_t_cell,27367,95275,28.72
sample00404,no,PBMC,cd8_t_cell,17060,95275,17.91
sample00404,no,PBMC,monocyte,17564,95275,18.44
sample00404,no,PBMC,nk_cell,24579,95275,25.8
sample00411,no,PBMC,b_cell,15442,107991,14.3
sample00411,no,PBMC,cd4_t_cell,40919,107991,37.89
sample00411,no,PBMC,cd8_t_cell,12059,107991,11.17
sample00411,no,PBMC,monocyte,23948,107991,22.18
sample00411,no,PBMC,nk_cell,15623,107991,14.47
sample00412,no,PBMC,b_cell,4745,98963,4.79
sample00412,no,PBMC,cd4_t_cell,27570,98963,27.86
sample00412,no,PBMC,cd8_t_cell,26431,98963,26.71
sample00412,no,PBMC,monocyte,21356,98963,21.58
sample00412,no,PBMC,nk_cell,18861,98963,19.06
sample00413,no,PBMC,b_cell,8386,110787,7.57
sample00413,no,PBMC,cd4_t_cell,38387,110787,34.65
sample00413,no,PBMC,cd8_t_cell,27257,110787,24.6
sample00413,no,PBMC,monocyte,19573,110787,17.67
sample00413,no,PBMC,nk_cell,17184,110787,15.51
sample00414,no,PBMC,b_cell,6667,92653,7.2
sample00414,no,PBMC,cd4_t_cell,24241,92653,26.16
sample00414,no,PBMC,cd8_t_cell,20017,92653,21.6
sample00414,no,PBMC,monocyte,23724,92653,25.61
sample00414,no,PBMC,nk_cell,18004,92653,19.43
sample00415,no,PBMC,b_cell,11699,106472,10.99
sample00415,no,PBMC,cd4_t_cell,23791,106472,22.34
sample00415,no,PBMC,cd8_t_cell,27307,106472,25.65
sample00415,no,PBMC,monocyte,27902,106472,26.21
sample00415,no,PBMC,nk_cell,15773,106472,14.81
sample00416,no,PBMC,b_cell,6873,90342,7.61
sample00416,no,PBMC,cd4_t_cell,35468,90342,39.26
sample00416,no,PBMC,cd8_t_cell,19186,90342,21.24
sample00416,no,PBMC,monocyte,19067,90342,21.11
sample00416,no,PBMC,nk_cell,9748,90342,10.79
sample00426,yes,PBMC,b_cell,12193,96997,12.57
sample00426,yes,PBMC,cd4_t_cell,27993,96997,28.86
sample00426,yes,PBMC,cd8_t_cell,26398,96997,27.22
sample00426,yes,PBMC,monocyte,19232,96997,19.83
sample00426,yes,PBMC,nk_cell,11181,96997,11.53
sample00427,yes,PBMC,b_cell,11273,93526,12.05
sample00427,yes,PBMC,cd4_t_cell,22813,93526,24.39
sample00427,yes,PBMC,cd8_t_cell,25957,93526,27.75
sample00427,yes,PBMC,monocyte,19663,93526,21.02
sample00427,yes,PBMC,nk_cell,13820,93526,14.78
sample00428,yes,PBMC,b_cell,3953,93130,4.24
sample00428,yes,PBMC,cd4_t_cell,35237,93130,37.84
sample00428,yes,PBMC,cd8_t_cell,25768,93130,27.67
sample00428,yes,PBMC,monocyte,13304,93130,14.29
sample00428,yes,PBMC,nk_cell,14868,93130,15.96
sample00435,no,PBMC,b_cell,10578,107516,9.84
sample00435,no,PBMC,cd4_t_cell,31050,107516,28.88
sample00435,no,PBMC,cd8_t_cell,31278,107516,29.09
sample00435,no,PBMC,monocyte,20614,107516,19.17
sample00435,no,PBMC,nk_cell,13996,107516,13.02
sample00436,no,PBMC,b_cell,6569,90324,7.27
sample00436,no,PBMC,cd4_t_cell,24932,90324,27.6
sample00436,no,PBMC,cd8_t_cell,20107,90324,22.26
sample00436,no,PBMC,monocyte,21660,90324,23.98
sample00436,no,PBMC,nk_cell,17056,90324,18.88
sample00437,no,PBMC,b_cell,9752,97610,9.99
sample00437,no,PBMC,cd4_t_cell,26190,97610,26.83
